       1(   0,   0)       2(   0,   1)       3(   0,   2)       4(   0,   3)       5(   0,   4)       6(   0,   5)       5(   0,   6)       4(   0,   7)       3(   0,   8)       2(   0,   9)       1(   0,  10)       2(   0,  11)       3(   0,  12)       4(   0,  13)       5(   0,  14)
    2500(   1,   0)       1(   1,   1)       2(   1,   2)       3(   1,   3)       4(   1,   4)       5(   1,   5)       4(   1,   6)       3(   1,   7)       2(   1,   8)       1(   1,   9)       2(   1,  10)       3(   1,  11)       4(   1,  12)       5(   1,  13)       6(   1,  14)
    2500(   2,   0)    2500(   2,   1)       1(   2,   2)       2(   2,   3)       3(   2,   4)       4(   2,   5)       3(   2,   6)       2(   2,   7)       1(   2,   8)       2(   2,   9)       3(   2,  10)       2(   2,  11)       3(   2,  12)       4(   2,  13)       5(   2,  14)
    2500(   3,   0)    2500(   3,   1)    2500(   3,   2)       1(   3,   3)       2(   3,   4)       3(   3,   5)       2(   3,   6)       1(   3,   7)       2(   3,   8)       3(   3,   9)       4(   3,  10)       3(   3,  11)       2(   3,  12)       3(   3,  13)       4(   3,  14)
    2500(   4,   0)    2500(   4,   1)    2500(   4,   2)    2500(   4,   3)       1(   4,   4)       2(   4,   5)       1(   4,   6)       2(   4,   7)       3(   4,   8)       4(   4,   9)       5(   4,  10)       4(   4,  11)       3(   4,  12)       2(   4,  13)       3(   4,  14)
    2500(   5,   0)    2500(   5,   1)    2500(   5,   2)    2500(   5,   3)    2500(   5,   4)       1(   5,   5)       2(   5,   6)       3(   5,   7)       4(   5,   8)       5(   5,   9)       6(   5,  10)       5(   5,  11)       4(   5,  12)       3(   5,  13)       2(   5,  14)
    2500(   6,   0)    2500(   6,   1)    2500(   6,   2)    2500(   6,   3)    2500(   6,   4)    2500(   6,   5)       1(   6,   6)       2(   6,   7)       3(   6,   8)       4(   6,   9)       5(   6,  10)       4(   6,  11)       3(   6,  12)       2(   6,  13)       1(   6,  14)
    2500(   7,   0)    2500(   7,   1)    2500(   7,   2)    2500(   7,   3)    2500(   7,   4)    2500(   7,   5)    2500(   7,   6)       1(   7,   7)       2(   7,   8)       3(   7,   9)       4(   7,  10)       3(   7,  11)       2(   7,  12)       1(   7,  13)       2(   7,  14)
    2500(   8,   0)    2500(   8,   1)    2500(   8,   2)    2500(   8,   3)    2500(   8,   4)    2500(   8,   5)    2500(   8,   6)    2500(   8,   7)       1(   8,   8)       2(   8,   9)       3(   8,  10)       2(   8,  11)       1(   8,  12)       2(   8,  13)       3(   8,  14)
    2500(   9,   0)    2500(   9,   1)    2500(   9,   2)    2500(   9,   3)    2500(   9,   4)    2500(   9,   5)    2500(   9,   6)    2500(   9,   7)    2500(   9,   8)       1(   9,   9)       2(   9,  10)       1(   9,  11)       2(   9,  12)       3(   9,  13)       4(   9,  14)
    2500(  10,   0)    2500(  10,   1)    2500(  10,   2)    2500(  10,   3)    2500(  10,   4)    2500(  10,   5)    2500(  10,   6)    2500(  10,   7)    2500(  10,   8)    2500(  10,   9)       1(  10,  10)       2(  10,  11)       3(  10,  12)       4(  10,  13)       5(  10,  14)
    2500(  11,   0)    2500(  11,   1)    2500(  11,   2)    2500(  11,   3)    2500(  11,   4)    2500(  11,   5)    2500(  11,   6)    2500(  11,   7)    2500(  11,   8)    2500(  11,   9)    2500(  11,  10)       1(  11,  11)       2(  11,  12)       3(  11,  13)       4(  11,  14)
    2500(  12,   0)    2500(  12,   1)    2500(  12,   2)    2500(  12,   3)    2500(  12,   4)    2500(  12,   5)    2500(  12,   6)    2500(  12,   7)    2500(  12,   8)    2500(  12,   9)    2500(  12,  10)    2500(  12,  11)       1(  12,  12)       2(  12,  13)       3(  12,  14)
    2500(  13,   0)    2500(  13,   1)    2500(  13,   2)    2500(  13,   3)    2500(  13,   4)    2500(  13,   5)    2500(  13,   6)    2500(  13,   7)    2500(  13,   8)    2500(  13,   9)    2500(  13,  10)    2500(  13,  11)    2500(  13,  12)       1(  13,  13)       2(  13,  14)
    2500(  14,   0)    2500(  14,   1)    2500(  14,   2)    2500(  14,   3)    2500(  14,   4)    2500(  14,   5)    2500(  14,   6)    2500(  14,   7)    2500(  14,   8)    2500(  14,   9)    2500(  14,  10)    2500(  14,  11)    2500(  14,  12)    2500(  14,  13)       1(  14,  14)
